src_vid,dst_vid,ACT_TYPE,ACT_VALUE,ACT_SOURCE
4,Q12809,IC50,4.89,CHEMBL
4,P35498,IC50,5.79,WOMBAT-PK
4,P35499,,,WOMBAT-PK
4,P34995,,,WOMBAT-PK
4,P10635,IC50,6.707,DRUG MATRIX
4,P46098,,,WOMBAT-PK
4,Q9UK17,IC50,4.5,WOMBAT-PK
4,P22460,,,WOMBAT-PK
5,Q01668|Q13936,,,DRUG LABEL
6,O15554,IC50,7.6,IUPHAR
6,Q01668,IC50,8.4,IUPHAR
6,O60840,IC50,6.0,IUPHAR
6,P22002,IC50,6.0,IUPHAR
6,Q02485,IC50,6.0,IUPHAR
6,Q13936,,,SCIENTIFIC LITERATURE
13,P08588,,,DRUGBANK
21,P00375,IC50,8.7,CHEMBL
21,P00381,IC50,8.3,CHEMBL
21,B0BL08,IC50,7.96,CHEMBL
21,P48760,Ki,4.75,CHEMBL
21,P00374,IC50,4.93,SCIENTIFIC LITERATURE
24,P15121,IC50,4.02,CHEMBL
24,Q92769,IC50,4.19,CHEMBL
24,Q13547,IC50,4.19,CHEMBL
24,Q9BY41,IC50,4.03,CHEMBL
25,P26358,IC50,6.52,CHEMBL
25,Q9Y6K1,,,CHEMBL
26,P04818,,,WOMBAT-PK
26,O15440,,,WOMBAT-PK
26,Q96J66,,,WOMBAT-PK
26,P07607,IC50,7.7,CHEMBL
26,P0A8F0,Ki,4.89,CHEMBL
27,O26232,Ki,4.96,CHEMBL
27,P03962,Ki,7.19,CHEMBL
30,P22303,IC50,6.12,CHEMBL
30,P05177,IC50,7.398,DRUG MATRIX
30,P21397,IC50,4.07,CHEMBL
30,O42713,EC50,4.83,CHEMBL
34,P03369,EC50,5.276,WOMBAT-PK
34,Q72547,EC50,5.28,CHEMBL
34,Q9WKE8,IC50,6.89,CHEMBL
35,P30968,Ki,9.49,IUPHAR
38,P14867|P18507|P28472,,,WOMBAT-PK
38,O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,,,CHEMBL
39,O43451,IC50,5.697,WOMBAT-PK
39,P04746,,,CHEMBL
39,P04745,IC50,6.0,CHEMBL
39,P10253,IC50,5.3,CHEMBL
39,P23739,IC50,6.4,CHEMBL
39,Q6P7A9,Ki,5.46,CHEMBL
39,P94451,Ki,6.47,CHEMBL
39,P53051,IC50,4.42,CHEMBL
39,P00690,IC50,4.45,CHEMBL
39,P14410,Ki,6.609,SCIENTIFIC LITERATURE
40,P08588,Ki,7.3,WOMBAT-PK
40,P07550,Ki,6.4,WOMBAT-PK
40,P19327,Ki,5.0,CHEMBL
43,P02766,Kd,5.92,CHEMBL
43,P07943,IC50,5.89,DRUG MATRIX
43,P28482,IC50,5.227,DRUG MATRIX
43,P35354,,,DRUG LABEL
44,P16116,IC50,4.7,CHEMBL
44,Q4Z710,IC50,4.75,CHEMBL
44,A0A113T0T6,IC50,4.75,CHEMBL
47,P35354,,,KEGG DRUG
47,P23219,,,KEGG DRUG
47,Q04760,Ki,4.89,CHEMBL
48,Q6TEK4,IC50,6.11,IUPHAR
48,Q9BQB6,IC50,6.114,SCIENTIFIC LITERATURE
49,P29275,Ki,4.56,CHEMBL
50,P35367,,,DRUG LABEL
52,P35354,IC50,4.31,WOMBAT-PK
52,Q8NER1,,,WOMBAT-PK
52,Q14994,,,WOMBAT-PK
52,P00918,Ki,5.21,CHEMBL
52,P00915,Ki,5.0,CHEMBL
52,P22748,Ki,4.94,CHEMBL
52,Q16790,Ki,4.15,CHEMBL
52,O43570,Ki,5.39,CHEMBL
52,P43166,Ki,5.04,CHEMBL
52,P07451,Ki,5.15,CHEMBL
52,Q9ULX7,Ki,4.97,CHEMBL
52,P20292,IC50,4.36,CHEMBL
52,P12530,IC50,4.547,DRUG MATRIX
52,Q9D6N1,Ki,4.52,CHEMBL
52,Q99N23,Ki,5.03,CHEMBL
52,P02144,IC50,5.64,CHEMBL
52,P21554,,,WOMBAT-PK
54,Q6XQN6,Ki,9.0,CHEMBL
56,Q9VTU8,Ki,7.11,CHEMBL
56,Q9V396,Ki,6.97,CHEMBL
56,P00918,Ki,8.48,CHEMBL
56,P00915,Ki,7.92,CHEMBL
56,P22748,Ki,7.96,CHEMBL
56,Q16790,Ki,8.05,CHEMBL
56,O43570,Ki,8.6,CHEMBL
56,P29972,,,WOMBAT-PK
56,P35218,Ki,7.22,CHEMBL
56,Q9Y2D0,Ki,7.27,CHEMBL
56,P43166,Ki,8.6,CHEMBL
56,O24855,Ki,7.7,CHEMBL
56,P07451,Ki,8.51,CHEMBL
56,P23280,Ki,7.96,CHEMBL
56,Q9ULX7,Ki,7.39,CHEMBL
56,Q9D6N1,Ki,7.77,CHEMBL
56,Q95323,Ki,7.15,CHEMBL
56,Q9ERQ8,Ki,7.8,CHEMBL
56,P40881,Ki,7.22,CHEMBL
56,Q50565,Ki,4.92,CHEMBL
56,Q8N1Q1,Ki,8.24,CHEMBL
56,Q99N23,Ki,7.14,CHEMBL
56,P53615,Ki,7.09,CHEMBL
