id,TARGET_NAME,TARGET_CLASS,SWISSPROT,ACTION_TYPE
Q12809,Potassium voltage-gated channel subfamily H member 2,Ion channel,KCNH2_HUMAN,
P35498,Sodium channel protein type 1 subunit alpha,Ion channel,SCN1A_HUMAN,
P35499,Sodium channel protein type 4 subunit alpha,Ion channel,SCN4A_HUMAN,BLOCKER
P34995,Prostaglandin E2 receptor EP1 subtype,GPCR,PE2R1_HUMAN,
P10635,Cytochrome P450 2D6,Enzyme,CP2D6_HUMAN,
P46098,5-hydroxytryptamine receptor 3A,Ion channel,5HT3A_HUMAN,
Q9UK17,Potassium voltage-gated channel subfamily D member 3,Ion channel,KCND3_HUMAN,
P22460,Potassium voltage-gated channel subfamily A member 5,Ion channel,KCNA5_HUMAN,
Q01668|Q13936,Voltage-gated L-type calcium channel,Ion channel,CAC1D_HUMAN|CAC1C_HUMAN,BLOCKER
O15554,Intermediate conductance calcium-activated potassium channel protein 4,Ion channel,KCNN4_HUMAN,BLOCKER
Q01668,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,CAC1D_HUMAN,GATING INHIBITOR
O60840,Voltage-dependent L-type calcium channel subunit alpha-1F,Ion channel,CAC1F_HUMAN,GATING INHIBITOR
P22002,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,CAC1C_RAT,GATING INHIBITOR
Q02485,Voltage-dependent L-type calcium channel subunit alpha-1S,Ion channel,CAC1S_RAT,GATING INHIBITOR
Q13936,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,CAC1C_HUMAN,BLOCKER
P08588,Beta-1 adrenergic receptor,GPCR,ADRB1_HUMAN,AGONIST
P00375,Dihydrofolate reductase,Enzyme,DYR_MOUSE,
P00381,Dihydrofolate reductase,Enzyme,DYR_LACCA,
B0BL08,Dihydrofolate reductase,Enzyme,B0BL08_ECOLX,
P48760,Folylpoly-gamma-glutamate synthetase,Enzyme,FOLC_MOUSE,
P00374,Dihydrofolate reductase,Enzyme,DYR_HUMAN,INHIBITOR
P15121,Aldose reductase,Enzyme,ALDR_HUMAN,
Q92769,Histone deacetylase 2,Enzyme,HDAC2_HUMAN,
Q13547,Histone deacetylase 1,Enzyme,HDAC1_HUMAN,
Q9BY41,Histone deacetylase 8,Enzyme,HDAC8_HUMAN,
P26358,DNA (cytosine-5)-methyltransferase 1,Enzyme,DNMT1_HUMAN,INHIBITOR
Q9Y6K1,DNA (cytosine-5)-methyltransferase 3A,Enzyme,DNM3A_HUMAN,INHIBITOR
P04818,Thymidylate synthase,Enzyme,TYSY_HUMAN,INHIBITOR
O15440,Multidrug resistance-associated protein 5,Transporter,MRP5_HUMAN,
Q96J66,ATP-binding cassette sub-family C member 11,Transporter,ABCCB_HUMAN,
P07607,Thymidylate synthase,Enzyme,TYSY_MOUSE,
P0A8F0,Uracil phosphoribosyltransferase,Enzyme,UPP_ECOLI,
O26232,Orotidine 5'-phosphate decarboxylase,Enzyme,PYRF_METTH,
P03962,Orotidine 5'-phosphate decarboxylase,Enzyme,PYRF_YEAST,
P22303,Acetylcholinesterase,Enzyme,ACES_HUMAN,
P05177,Cytochrome P450 1A2,Enzyme,CP1A2_HUMAN,
P21397,Amine oxidase [flavin-containing] A,Enzyme,AOFA_HUMAN,
O42713,Polyphenol oxidase 2,Enzyme,PPO2_AGABI,
P03369,Gag-Pol polyprotein,Polyprotein,POL_HV1A2,
Q72547,Reverse transcriptase/RNaseH,Enzyme,Q72547_9HIV1,INHIBITOR
Q9WKE8,Reverse transcriptase,Enzyme,Q9WKE8_9HIV1,
P30968,Gonadotropin-releasing hormone receptor,GPCR,GNRHR_HUMAN,ANTAGONIST
P14867|P18507|P28472,GABA-A receptor alpha-1/beta-3/gamma-2,Ion channel,GBRA1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN,POSITIVE MODULATOR
O15399|O60391|Q05586|Q12879|Q13224|Q14957|Q8TCU5,Glutamate [NMDA] receptor,Ion channel,NMDE4_HUMAN|NMD3B_HUMAN|NMDZ1_HUMAN|NMDE1_HUMAN|NMDE2_HUMAN|NMDE3_HUMAN|NMD3A_HUMAN,ANTAGONIST
O43451,"Maltase-glucoamylase, intestinal",Enzyme,MGA_HUMAN,INHIBITOR
